"DriveLetter","Disk","PhysicalDiskNo","DiskSize","DiskModel","Partition","RawSize","VolumeName","SizeGB","FreeSpaceGB","VolumeSerialNo","DriveType","FileSystem","SerialNumber","ScsiBus","SCSILogicalUnit","SCSIPort","SCSITargetId","Index","DiskIndex","PartitionIndex","PSComputerName","RunspaceId","PSShowComputerName","StorageFormat","Filename","CapacityGB","VMName","HDDName","ControllerKey","UnitNumber","DataStoreName"
"C","PHYSICALDRIVE0","0","90","VMware Virtual disk SCSI Disk Device","Disk #0, Partition #2","90","","90","47","C0BC4CCD","3","NTFS","6000c29d12a6ef6cce67ea86bcee81e0","0","0","0","0","0","0","2","ad001.vcloud-lab.com","daedf6b5-389a-4358-b441-25822ecce396","True","Thin","[StarLord_Datastore01] ad001.vcloud-lab.com/ad001.vcloud-lab.com.vmdk","90","ad001.vcloud-lab.com","Hard disk 1","1000","0","StarLord_Datastore01"
"E","PHYSICALDRIVE1","1","505","VMware Virtual disk SCSI Disk Device","Disk #1, Partition #0","505","iSCSI","505","489","46A94E66","3","NTFS","6000c29fb160ee05ee8228fe726930f0","0","0","0","1","1","1","0","ad001.vcloud-lab.com","daedf6b5-389a-4358-b441-25822ecce396","True","Thin","[StarLord_Datastore01] ad001.vcloud-lab.com/ad001.vcloud-lab.com_1.vmdk","505","ad001.vcloud-lab.com","Hard disk 2","1000","1","StarLord_Datastore01"
